PERCENTILE,2021,2020,INCREASE,PERCENT CHANGE
0.00,0,0,0,0.00
1.00,0,0,0,0.00
2.00,0,0,0,0.00
3.00,52,400,-348,-669.23
4.00,1040,1500,-460,-44.23
5.00,2200,2500,-300,-13.64
6.00,3510,3503,7,0.20
7.00,4990,5000,-10,-0.20
8.00,6000,6000,0,0.00
9.00,7171,7250,-79,-1.10
10.00,8500,8600,-100,-1.18
11.00,10000,10000,0,0.00
12.00,10703,10750,-47,-0.44
13.00,12000,12000,0,0.00
14.00,13000,13000,0,0.00
15.00,14311,14005,306,2.14
16.00,15001,15000,1,0.01
17.00,16000,16000,0,0.00
18.00,17020,17000,20,0.12
19.00,18010,18000,10,0.06
20.00,19404,19002,402,2.07
21.00,20000,20000,0,0.00
22.00,20104,20002,102,0.51
23.00,21306,21000,306,1.44
24.00,22400,22000,400,1.79
25.00,23357,23000,357,1.53
26.00,24003,24000,3,0.01
27.00,25000,25000,0,0.00
28.00,25050,25000,50,0.20
29.00,26002,25300,702,2.70
30.00,27003,26101,902,3.34
31.00,28000,27205,795,2.84
32.00,29000,28009,991,3.42
33.00,30000,29250,750,2.50
34.00,30000,30000,0,0.00
35.00,30199,30001,198,0.66
36.00,31385,30631,754,2.40
37.00,32111,31988,123,0.38
38.00,33300,32528,772,2.32
39.00,34830,34000,830,2.38
40.00,35000,35000,0,0.00
41.00,35700,35010,690,1.93
42.00,36400,36000,400,1.10
43.00,37671,37000,671,1.78
44.00,38879,38006,873,2.25
45.00,40000,39441,559,1.40
46.00,40001,40000,1,0.00
47.00,40600,40024,576,1.42
48.00,42000,41000,1000,2.38
49.00,43000,42004,996,2.32
50.00,44225,43206,1019,2.30
51.00,45001,45000,1,0.00
52.00,46000,45040,960,2.09
53.00,47200,46021,1179,2.50
54.00,48473,47840,633,1.31
55.00,50000,48820,1180,2.36
56.00,50002,50000,2,0.00
57.00,50402,50005,397,0.79
58.00,51850,50500,1350,2.60
59.00,52700,52000,700,1.33
60.00,54100,53007,1093,2.02
61.00,55028,55000,28,0.05
62.00,56206,55200,1006,1.79
63.00,58002,56648,1354,2.33
64.00,60000,58202,1798,3.00
65.00,60010,60000,10,0.02
66.00,61000,60051,949,1.56
67.00,62601,61175,1426,2.28
68.00,64886,63000,1886,2.91
69.00,65400,65000,400,0.61
70.00,67402,66017,1385,2.05
71.00,69887,68112,1775,2.54
72.00,70213,70001,212,0.30
73.00,72281,71020,1261,1.74
74.00,75000,73301,1699,2.27
75.00,75815,75050,765,1.01
76.00,78152,77004,1148,1.47
77.00,80011,80000,11,0.01
78.00,82008,80702,1306,1.59
79.00,85001,83561,1440,1.69
80.00,87600,85950,1650,1.88
81.00,90055,89427,628,0.70
82.00,93200,91240,1960,2.10
83.00,97027,95020,2007,2.07
84.00,100012,99455,557,0.56
85.00,102200,100500,1700,1.66
86.00,107000,104244,2756,2.58
87.00,111300,110000,1300,1.17
88.00,118000,114920,3080,2.61
89.00,122485,120055,2430,1.98
90.00,129181,125105,4076,3.16
91.00,136000,131612,4388,3.23
92.00,145025,140162,4863,3.35
93.00,151660,150023,1637,1.08
94.00,160512,160000,512,0.32
95.00,175300,174000,1300,0.74
96.00,196006,192430,3576,1.82
97.00,220005,216105,3900,1.77
98.00,259608,256300,3308,1.27
99.00,357552,361020,-3468,-0.97